"","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total"
"191",193,193,"6호선",2629,"삼각지",167546,34106,5911,2393816,0.0142475445063447,5,8,2,15
"192",188,188,"6호선",2624,"상수",201952,31829,2995,3143958,0.0101238629778133,3,0,0,3
"193",207,207,"6호선",2643,"상월곡(한국과학기술연구원)",368597,69864,4288,2080062,0.0335874603737773,1,0,2,3
"194",181,181,"6호선",2617,"새절(신사)",809758,136081,8255,4149126,0.0327975096441998,2,0,1,3
"195",209,209,"6호선",2645,"석계",717881,126439,9068,4028247,0.0313880951192913,4,2,2,8
"196",200,200,"6호선",2636,"신당",347434,63215,3273,2698570,0.0234253697328585,1,2,5,8
"197",204,204,"6호선",2640,"안암(고대병원앞)",319659,70039,2881,3904533,0.0179378686260303,3,0,0,3
"198",198,198,"6호선",2634,"약수",216065,31087,1483,1164989,0.0266843721271188,4,0,0,4
"199",177,177,"6호선",2612,"역촌",304534,51950,2146,1231011,0.0422010851243409,2,0,0,2
"200",206,206,"6호선",2642,"월곡(동덕여대)",653916,111694,6319,3859353,0.0289411204416906,3,0,1,4
"201",184,184,"6호선",2620,"월드컵경기장(성산)",574072,76509,5665,1878222,0.0407348013174161,3,0,0,3
"202",176,176,"6호선",2611,"응암",1082797,193633,8372,5725167,0.0338213714988576,2,0,0,2
"203",195,195,"6호선",2631,"이태원",296818,53093,3210,4051192,0.013105525484845,2,0,0,2
"204",182,182,"6호선",2618,"증산(명지대앞)",663267,121567,6009,3290901,0.0369403394389561,3,0,0,3
"205",202,202,"6호선",2638,"창신",176391,30587,1110,1141661,0.0267916658272464,3,0,0,3
"206",199,199,"6호선",2635,"청구",180217,33384,1484,1183922,0.0281978035715191,5,0,0,5
"207",210,210,"6호선",2646,"태릉입구",286185,53120,3442,1881331,0.0282353291366591,4,0,0,4
"208",196,196,"6호선",2632,"한강진",141188,32805,2418,2928112,0.0112034648947854,3,0,0,3
"209",187,187,"6호선",2623,"합정",370357,70012,4344,4593686,0.0152409198190734,3,0,1,4
"210",211,211,"6호선",2647,"화랑대(서울여대입구)",432654,81828,9916,3830766,0.021360740906649,4,0,0,4
"211",192,192,"6호선",2628,"효창공원앞",355863,59888,4096,2338277,0.0256120211591698,2,0,1,3
"212",250,250,"7호선",2748,"가산디지털단지",738117,231158,12304,12989211,0.0177961540543148,4,0,4,8
"213",234,234,"7호선",2732,"강남구청",484134,68358,4869,5109345,0.013379014335497,2,0,1,3
"214",231,231,"7호선",2729,"건대입구",502663,105362,3984,4354316,0.0241971414109587,2,0,3,5
"215",238,238,"7호선",2736,"고속터미널",684641,99918,7740,5739773,0.0174080055082318,2,0,4,6
"216",220,220,"7호선",2718,"공릉(서울과학기술대)",645420,128943,6966,3979600,0.0324009950748819,3,0,0,3
"217",252,252,"7호선",2750,"광명사거리",1395425,233935,11408,7155114,0.032694797036078,2,0,1,3
"218",229,229,"7호선",2727,"군자(능동)",728275,132927,6555,4900550,0.0271249145504076,1,0,0,1
"219",249,249,"7호선",2747,"남구로",542769,125676,6169,4854751,0.0258872185205791,0,0,11,11
"220",241,241,"7호선",2739,"남성",679897,96397,6538,3644672,0.026448744907635,4,0,0,4
"221",239,239,"7호선",2737,"내방",663535,80068,8247,4513448,0.0177398742602108,5,0,0,5
"222",217,217,"7호선",2715,"노원",1108766,220603,11823,6527727,0.0337947650077891,4,0,0,4
"223",236,236,"7호선",2734,"논현",440304,71135,3652,5884828,0.0120878639103811,3,0,1,4
"224",248,248,"7호선",2746,"대림(구로구청)",343257,68303,2339,2841221,0.0240400165984976,3,0,1,4
"225",214,214,"7호선",2712,"도봉산",467321,82695,9347,3047917,0.0271316443328345,5,0,0,5
"226",232,232,"7호선",2730,"뚝섬유원지",429544,66480,2793,3213838,0.0206855479336544,3,0,0,3
"227",216,216,"7호선",2714,"마들",800225,130093,11933,4193574,0.0310219874503228,4,0,1,5
"228",222,222,"7호선",2720,"먹골",603533,114414,6439,3342293,0.0342321873037463,3,0,0,3
"229",225,225,"7호선",2723,"면목",888353,171114,6010,5102259,0.0335369098275881,3,0,0,3
"230",237,237,"7호선",2735,"반포",335060,36996,2807,1965322,0.0188243962058126,4,0,1,5
"231",246,246,"7호선",2744,"보라매",355399,66215,4981,2744557,0.0241259336206171,2,0,0,2
"232",226,226,"7호선",2724,"사가정",924146,166251,9611,5289186,0.0314322468523512,3,0,0,3
"233",243,243,"7호선",2741,"상도",577318,85439,3898,3709795,0.0230306526371403,3,0,0,3
"234",224,224,"7호선",2722,"상봉(시외버스터미널)",655885,137563,8331,5564526,0.0247214228130123,5,0,0,5
"235",215,215,"7호선",2713,"수락산",922194,146148,11993,4240635,0.0344637064967864,1,0,2,3
"236",242,242,"7호선",2740,"숭실대입구(살피재)",591178,79092,5172,4356701,0.0181541032997215,4,0,0,4
"237",245,245,"7호선",2743,"신대방삼거리",832533,137232,8442,5101716,0.0268991845096826,4,0,0,4
"238",247,247,"7호선",2745,"신풍",677104,113662,7325,3770337,0.0301463768358107,4,0,0,4
"239",230,230,"7호선",2728,"어린이대공원(세종대)",377922,89101,4723,4925299,0.0180904753193664,4,0,0,4
"240",254,254,"7호선",2752,"온수(성공회대입구)",358238,83163,5407,3255481,0.0255455338243412,3,2,5,10
"241",227,227,"7호선",2725,"용마산(용마폭포공원)",319068,74801,2302,1971170,0.0379475134057438,3,0,0,3
"242",240,240,"7호선",2738,"이수",740257,106200,6599,5221148,0.020340354266916,3,2,4,9
"243",244,244,"7호선",2742,"장승배기",626722,97118,6311,2965653,0.0327475938688714,3,0,0,3
"244",213,213,"7호선",2711,"장암",99557,17851,1664,764339,0.0233548203087897,2,0,0,2
"245",218,218,"7호선",2716,"중계",769437,213787,16289,4655370,0.0459226656527838,3,0,0,3
"246",228,228,"7호선",2726,"중곡",545992,139636,5224,3508775,0.039796225178303,3,0,0,3
"247",223,223,"7호선",2721,"중화",579508,127573,6879,3505236,0.036394981678837,3,0,0,3
"248",253,253,"7호선",2751,"천왕",509232,103092,9700,3640542,0.0283177614761758,4,0,0,4
"249",251,251,"7호선",2749,"철산",926919,161707,14094,6879895,0.023504283132228,4,0,0,4
"250",233,233,"7호선",2731,"청담",740155,89657,7321,6045293,0.0148308775108171,2,0,2,4
"251",221,221,"7호선",2719,"태릉입구",416332,79721,5297,2965187,0.0268856567899428,2,0,0,2
"252",219,219,"7호선",2717,"하계",946085,200871,9314,5809205,0.0345780532792353,3,0,0,3
"253",235,235,"7호선",2733,"학동",573639,89417,6168,7170644,0.012469870209705,3,0,0,3
"254",262,262,"8호선",2818,"가락시장",595608,75572,6369,2466017,0.0306453686247905,6,0,0,6
"255",257,257,"8호선",2813,"강동구청",607906,94216,4674,3304658,0.0285100606477281,3,0,0,3
"256",272,272,"8호선",2828,"남위례",244866,35756,2815,1705558,0.0209643999207298,3,0,0,3
"257",267,267,"8호선",2823,"남한산성입구(성남법원.검찰청)",727019,143399,6614,4611784,0.0310940408310537,2,0,0,2
"258",268,268,"8호선",2824,"단대오거리",653658,142018,4509,3544255,0.040069915962593,3,0,0,3
"259",271,271,"8호선",2827,"모란",512846,91099,4627,1597972,0.0570091340774432,3,0,2,5
"260",258,258,"8호선",2814,"몽촌토성(평화의문)",325527,43843,2998,2073798,0.0211414033575112,4,0,0,4
"261",263,263,"8호선",2819,"문정",545724,102071,5529,6383286,0.0159903535577131,4,0,0,4
"262",265,265,"8호선",2821,"복정",358605,74148,5455,3077083,0.0240968475663477,1,0,1,2
"263",266,266,"8호선",2822,"산성",302164,44001,3369,1771502,0.0248382446082477,4,0,0,4
"264",260,260,"8호선",2816,"석촌",480100,72407,4570,2531513,0.0286022627574893,3,0,0,3
