"동별(1)",동별(2),동별(3),계,남자,여자
"합계",강동구,천호3동,1256,747,509
"합계",강동구,성내1동,629,397,232
"합계",강동구,성내2동,1075,662,413
"합계",강동구,성내3동,913,559,354
"합계",강동구,둔촌1동,3,2,1
"합계",강동구,둔촌2동,925,562,363
"합계",강동구,암사1동,1692,1028,664
"합계",강동구,천호2동,1648,999,649
"합계",강동구,길동,1988,1214,774
"합계",강동구,강일동,1661,947,714
"합계",강동구,상일1동,1084,651,433
"합계",강동구,상일2동,662,377,285
"합계",강동구,기타,5,3,2
