"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"436","합계","송파구","방이2동",747,438,309,26354,0.0283448432875465
"442","합계","송파구","삼전동",903,538,365,29912,0.0301885530890612
"441","합계","송파구","석촌동",1031,620,411,31602,0.0326245174356053
"428","합계","송파구","소계",20571,12153,8418,664514,0.0309564584041871
"439","합계","송파구","송파1동",684,430,254,24008,0.0284905031656115
"440","합계","송파구","송파2동",495,291,204,18947,0.0261255079959888
"438","합계","송파구","오금동",1453,816,637,38037,0.0381996477114389
"437","합계","송파구","오륜동",301,168,133,17804,0.0169063131880476
"455","합계","송파구","위례동",1238,728,510,44613,0.0277497590388452
"452","합계","송파구","잠실2동",601,353,248,34876,0.0172324807890813
"453","합계","송파구","잠실3동",681,410,271,34143,0.0199455232404885
"449","합계","송파구","잠실4동",441,276,165,21223,0.0207793431654337
"450","합계","송파구","잠실6동",390,230,160,16713,0.0233351283432059
"451","합계","송파구","잠실7동",227,136,91,9427,0.0240797708709027
"448","합계","송파구","잠실본동",771,473,298,28358,0.0271880950701742
"454","합계","송파구","장지동",1313,770,543,29102,0.045117174077383
"429","합계","송파구","풍납1동",603,343,260,12910,0.0467079783113865
"430","합계","송파구","풍납2동",808,476,332,24426,0.0330795054450176
"253","합계","양천구","목1동",696,393,303,30536,0.0227927691904637
"254","합계","양천구","목2동",1056,634,422,29641,0.0356263283964778
"255","합계","양천구","목3동",924,548,376,21719,0.0425433951839403
"256","합계","양천구","목4동",837,493,344,25018,0.0334559117435446
"269","합계","양천구","목5동",732,413,319,40737,0.0179689226010752
"252","합계","양천구","소계",17621,10232,7389,444010,0.0396860431071372
"257","합계","양천구","신월1동",1294,762,532,20343,0.0636091038686526
"258","합계","양천구","신월2동",991,579,412,20569,0.0481792989450143
"259","합계","양천구","신월3동",934,557,377,14934,0.0625418508102317
"260","합계","양천구","신월4동",936,533,403,17698,0.0528873319019098
"261","합계","양천구","신월5동",718,413,305,14461,0.0496507848696494
"262","합계","양천구","신월6동",465,299,166,13816,0.0336566299942096
"263","합계","양천구","신월7동",1120,636,484,19199,0.0583363716860253
"264","합계","양천구","신정1동",552,338,214,19962,0.0276525398256688
"265","합계","양천구","신정2동",726,423,303,19003,0.0382044940272589
"266","합계","양천구","신정3동",2216,1253,963,50587,0.0438057208373693
"270","합계","양천구","신정4동",1586,964,622,33056,0.0479791868344627
"267","합계","양천구","신정6동",459,265,194,24152,0.0190046372971183
"268","합계","양천구","신정7동",1379,729,650,28579,0.0482522131635117
"326","합계","영등포구","당산1동",773,467,306,20740,0.0372709739633558
"327","합계","영등포구","당산2동",928,535,393,37102,0.0250121287262142
"336","합계","영등포구","대림1동",853,513,340,16506,0.0516781776323761
"337","합계","영등포구","대림2동",745,429,316,17523,0.0425155509901273
"338","합계","영등포구","대림3동",1192,728,464,25205,0.0472922039277921
"341","합계","영등포구","도림동",873,515,358,19600,0.0445408163265306
"342","합계","영등포구","문래동",899,538,361,32540,0.0276275353411186
"324","합계","영등포구","소계",14654,8736,5918,398085,0.03681123378173
"330","합계","영등포구","신길1동",894,529,365,20483,0.043645950300249
"331","합계","영등포구","신길3동",821,490,331,17281,0.0475088247207916
"332","합계","영등포구","신길4동",632,347,285,13016,0.0485556238475722
"333","합계","영등포구","신길5동",556,344,212,11212,0.0495897252943275
"334","합계","영등포구","신길6동",793,441,352,19593,0.0404736385443781
"335","합계","영등포구","신길7동",567,328,239,19899,0.028493894165536
"328","합계","영등포구","양평1동",670,389,281,18704,0.0358212147134303
"329","합계","영등포구","양평2동",605,367,238,22583,0.0267900633219679
"325","합계","영등포구","여의동",773,448,325,32923,0.0234790268201561
"340","합계","영등포구","영등포동",989,664,325,30461,0.0324677456419684
